Aor_ID,Aee_ID,Q_ID,Answer
46450,46569,46382,"Absoluutselt kõik arutelud ja tööalased kokkupuuted on väga asjalikud, konkreetsed, produktiivsed ja mööduvad vabas ja mõnusas õhkkonnas."
46535,46556,46385,Absoluutselt.
46554,46554,46385,aeg-ajalt siiski probleeme nende täitmisega
46572,46548,46545,"Aga vaatamata kõigele eksid isegi Sina. Väga harva, aga tuleb ette. On suurepärane, et Sa seda siis tunnistad. Noh, et tapsid teemat või ei näinud ette, et nii võib minna, või mis iganes. See mõjub nii hästi ja julgustavalt, sest kui isegi Aivar eksib, siis võivad seda ometi ka kõik teised, ja see on okei, sest see on inimlik."
46484,46552,46382,"Aitab alati keerulistes olukordades lahendusi leida.
Ootab ära teiste ettepanekud ja siis pakub ka omapoolse lahenduse.
Näeb igas olukorras pigem positiivset külge."
46564,46562,46383,"Aitab kaasa eesmärkide täitmisele, kuid eesmärkide püstitamisel on pigem ambitsioonikas ning vahel võib njääda eesmärk eesmärgiks omaette"
46477,46548,46544,"Aivar Hundimägi on suurepärane liider, šarmantne ja intelligentne. Ta on suutnud luua meeskonna ning hoida ühise tiimi tunnetust. See muudab töökoha vahetuse väga keeruliseks ka siis kui konkurendi pakutav palganumber ületab praeguse palganumbri märkimisväärsel määral."
46569,46548,46545,"Aivar on heas mõttes ora istmikus ehk on nõudlik ja ootab alati paremat tulemust. See tekitab sisemise konkurentsi, mis paneb uusi ja häid lahendusi (mitte vabandusi, miks ei saa) otsima ning lugejat paremini teenindama ning end ja oma oskusi arendama."
46569,46548,46546,"Aivar on kindlameelne ja kehtestav. Oma seisukohti kaisteb ta veenvalt, argumenteeritult selgitades ja rahulikult ning see tagab ühelt poolt autoriteedi, teisalt julgustab eeskuju."
46569,46548,46544,"Aivar oskab ja julgustab toimetajana ajakirjanikke keerulisi lugusid lihtsalt jutustama. See sunnib juba teemade valimisel hindama ja mõtlema, kas see läheb kliendile ehk lugejale korda, on talle vajalik ning mil moel seda kõige paremini edasi anda. Paneb paremini läbi mõtlema ja analüüsima."
46418,46548,46544,"Aivar oskab väga hästi jääda oma põhimõtetele kindlaks, kuid olla seejuures hooliv ja sõbralik. See annab ka alluvatele kindluse ja usalduse, mis on meie ebaregulaarse töö juures ülioluline. Kui tekivad keerulised olukorrad, saab alati tema poole pöörduda ja ta leiab aega ning tähelepanu, et aidata."
46418,46548,46546,"Aivari juhitud koosolekud annavad alati tulemuse, sest need on ette planeeritud, korralikult läbi viidud ja hiljem kokkuvõtted saadetud."
46434,46548,46546,"Aivari positiivne omadus on seegi, et ta hindab inimesi nende tugevuste järgi. Nii võib ajakirjanik olla näiteks nõrk mõnes valdkonnas, mida saab järgi aidata või toetada, kuid olla muidu tugev allikatega töötaja, teemade tooja, ajakirjanik. Sama kehtib toimetajate puhul. Sel juhul saab alluv vajalikku abi ja tuge, et mängida välja oma tugevused. Tõsi, selle võimaluse ära kasutamine jääb juba igaühe enda teha."
46434,46548,46544,"Aivari tugevus on oma otsuseid. palveid ja suuniseid põhjendada. See on hea, sest esiteks ei mõju käsuna, mis reeglina automaatselt põhjustab inimeses kaitsereaktsioone ja negatiivseid emotsioone. Teiseks aitab see vastaspoolel kaasa mõelda ehk süstib isemõtlemist ning lisaks tekitab tunde kaasatusest. See kehtib nii pealkirja vahetuse, uudise väljamängimise kui ka muu suurema toimetuse ümberkorralduse teema puhul."
46418,46548,46545,"Aivaril on head erialased teadmised ja kogemused, mistõttu tema toimetaja käe all laabuvad lood oluliselt kergema vaevaga. Ta oskab hästi planeerida ja planeerimist ka teistelt nõuda."
46560,46566,46544,Ajakirjade turunduskampaaniad on muljet avaldavad. Julgus ja loovus on toonud väga head tulemused.
46437,46548,46400,"Ajakirjanikud ja toimetajad võiks tihedamini vabas olustikus arutada ideid, teemasid, allikaid jms, veebi kujunduse ja turunduseni välja. Oleksime üksteise tegemistega paremini kursis, täiendaksime enam teineteist ning mõistaksime asju rohkem ühtemoodi."
46552,46551,46401,"Aktiivne, enesekindel, sõbralik"
46471,46550,46401,"Aktiivne, jutukas, sõbral"
46552,46558,46401,"Aktiivne, nutikas, sõbralik"
46552,46489,46401,"Aktiivne, positiivne, loov"
46535,46556,46861,Alat
46534,46550,46546,"Alati avatud aruteludeks ja nõupidamisteks, olgu probleem mõne sõna õigekirjas või suuremas asjas."
46572,46572,46861,"Alati ei ole... Mõni koosolek on igav, igav on see, kus mul pole aktiivset rolli."
46563,46548,46386,Alati ei pea leidma kõiki osapooli rahuldavaid lahendusi ja seda sa oled ka näid
46561,46553,46388,"Alati ei saagi tippjuht kõiki otsustamisse kaasata, muidu jääks otsus tegemata"
46460,46552,46388,"Alati kaasad inimesed otsustusprotsessi ja inimesed tunnevad, et nad saavad kaasa rääkida ja nende arvamus on oluline."
46460,46552,46542,"Alati kuulad ära ka teiste arvamuse. Eriarvamuste suhtes oled salliv, ei kritiseeri, oled mõistev. See loob keskkonna, kus julgen välja öelda oma seisukohti."
46442,46572,46861,"Alati on teada, millised lood käiku lähevad."
46567,46548,46394,Alati räägib asjalikult ja põhjendab nii positiivset kui negatiivset tagasisidet loogiliste väidetega
46560,46552,46389,Alati väga väljapeetud ja viisaka
46572,46548,46391,Alati.
46443,46564,46861,"Alguses vähem, nüüd juba rohkem."
46551,46551,46392,allaandja ei ole
46553,46551,46545,Alluvate silmis on ta tõeline liider ja vaieldamatu autoriteet.
46551,46551,46400,"alluvate täieliku usalduse võitmine ja mõistmine on keeruline, siin ann"
46552,46553,46401,"Ambitsioonikas, enesekindel, karismaatiline"
46427,46571,46544,analüüs
46473,46564,46383,Analüüsib olukorda ja püstitab eesmärgid vastavalt reaalsele situatsioonile. Üle oma varju ja turusituatsiooni hüpata ei ole kellelgi võimalik.
46494,46548,46544,Analüüsib pidevalt ja põhjalikult toimetuse töökorraldust ja töö kvaliteeti ning teeb sellest tulenevalt ettepanekuid muudatusteks. Sama kehtib ka personaalse tagasiside andmise kohta.
46571,46560,46545,analüüsid olukordi ratsionaalselt ja üritad leida parimat lahendust
46561,46553,46401,"Analüütiline, konstruktiivne, emotsionaalne"
46457,46548,46545,"Anda töövabadust, usaldades teiste võimet iseseisvalt töötada."
46473,46564,46390,"Anna õnge, mitte kala! Sobib ideaalselt selline juhtimisstiil. Selline stiil on palju õpetlikum ja kasuliku, kui mõni koolitus."
46484,46552,46392,"Annab alati erineivaid mõtteid ja pakub välja lahendusi takistuste ületamiseks.
Kui olukord tundub hetkel lahendamatu, siis võtab vastu mõistliku lahenduse."
46548,46563,46381,Annab alluvatele väga suure vabaduse otsuste tegemisel ja soosib seda.
46494,46572,46545,"Annab positiivset tagasisidet kolleegidele väljastpoolt arvamustoimetust, elab kaasa."
46510,46560,46546,"Annab töötajale piisavalt vabadust leida ise oma tööülesannete täitmiseks kõige sobivam moodus, samas protsessi jäl. Võimaldab kodus töötamist ja paindlikku tööaega. See motiveerib oma tööd hästi tegema."
46536,46571,46546,Annab töötajatele nende töös piisavalt palju vabadust. Võimaldab oma töövaldkonna piires töötajal endal toimetada ja laseb pakkuda välja tööks paremaid lahendusi.
46864,46567,46545,"Annab vabaduse olla originaalne. Objektil on fotograafid üsna vabad (eriti ürituste kajastamisel) ja nende otsuseid hinnatakse. Oodataksegi originaalset lähenemist ja ei ole peale sunnitud pinget, kus kvantiteet kvaliteedist üle sõidab. See on praegu praktlilselt Äripäeva turueelis."
46864,46567,46394,"Annab, kuigi fotoseltskond on juba liiga kaua koos olnud, et iga rubriigipildi ümber arutelu tekkiks. Märkab ja toob esile erilised õnnestumised."
46571,46556,46544,annad eesmärgi saavutamise nimel endast kõik
46563,46559,46393,Annad vastutust ja iseseisvust ajakirjanikele.
46566,46549,46389,Annika on väga tugeva pingetaluvusega
46569,46550,46544,"Anu on kannatlik ja rahulik ka pingelistes olukordades. Näiteks, kui selgub, et mõni vajalik töö ei suju nii, nagu peaks ning kiiresti on vaja kas midagi muuta või leida asendusvariant. Selline konstruktiivne lähenemine aitab kiiresti ka teistel asjaosalistel, kes muutusest samuti puudutatud, rahulikkust säilitada."
46569,46550,46546,Anu on tööl alati rõõmsameelne. See meeleolu kiirgab ka kolleegidesse ja loob ka nende tuju .ning muudab ka neil tuju paremaks.
46548,46550,46385,"Anu on väga kohusetundlik ja selles osas võib küll temale olla kindel. Kui lubadused jäävad täitmata, siis on põhjuses pigem selles, et ta need unustab ära. Kui unustamist jääks vähemaks, siis oleks pannud selles vastuses täispunktid."
46548,46550,46544,Anu teeb rohkem kui ta peaks tegema. Näiteks tõlgib ta ise veebi uudiseid.
46548,46550,46382,"Anu üksuses on töökorraldus selline, mis teatud hetkedel on väga stressirohke ja pingeline. Samas mulle tundub, et õhkkond on positiivne või siis jääb see osakonda ja ei kandu välja. Samas on Anu alluvuses osa selliseid inimesi, kes võivad oma pahameelepursetega rikkuda ära ka teiste tööõhkonna ning inimesed elavad omi probleeme teiste peal välja. See on tõenäoliselt teema, millega Anul tuleks tegeleda. Ma arvan, et see peaks toimuma konkreetsele inimesele tema tegevust tagasi peegeldades. Mulle tundub, et osakonna siseselt on asjad enam-vähem korras, aga osakonnast välja võiks olla asjad paremad."
46569,46550,46545,"Anu ütleb alati oma arvamuse selgelt ja argumenteerides välja. Ka siis, kui see erineb avalik"
46563,46553,46383,"ÄP on Eesti edukaim meediafirma, seega jah."
46563,46553,46381,"ÄPs on selline kultuur üsna levinud, mis on suuresti ka sinu teene."
46562,46553,46400,"Ära jätta võiks tögamise ja naeruvääristamise. Parem on anda tagasisidet, kui midagi teise inimese käitumises häirib nelja silma alla. Mind paneb alalisse kaitseseisundisse torked koosolekul, et ma kas räägin koosolekul liiga palju või ei juhi koosolekut piisavalt intensiivselt. Ma ei usu, et sellest torkimise"
46551,46566,46400,ära karda suuri kulusid vaid väikseid tulusid :-)
46427,46571,46545,arendus
46563,46569,46390,Areng selge.
46563,46551,46391,Argumenteeritud arvamused võtad arvesse.
46569,46563,46862,Äripäev
46563,46563,46862,Äripäeva
46566,46549,46400,Äripäeva marketingieelarve ja müügiliidide ettevalmistus peaks olema agressiivsem ja rohkem sihtgrupile suunatud. Annika peaks endale abijõudu võtma või seda agentuuridelt sisse ostma.
46488,46554,46544,"armastab oma tööd, osk"
46551,46556,46545,"Arstid, kõige keerulisemad inimesed, suudab leida nendega ühise keel"
46473,46564,46546,Aruandlus: numbri- ja exceli-maailm
46561,46552,46394,Aruannete süsteem on väga hästi korraldatud. Soovitan suurendada mitteformaalset tagasiside andmist.
46555,46561,46401,"Arukas, analüütiline, iseolev."
46427,46571,46546,arutelud
46551,46551,46391,arvamust küsin küll aga otsused on vaja ikkagi minul teha
46569,46572,46862,Arvamustoimetus.
46566,46566,46382,Arvan et olen toodete lanseerimisega üsna edukalt hakkama saanud
46560,46553,46862,"Arvan, et Igor seisab kõikide nende Äripäeva töötajate eest, keda ta näeb väärtust loovana."
46571,46562,46400,"arvan, et sul liialt palju koosolekuid, püüa teha iga koosolek 15 min lühem"
46864,46567,46543,Arvestab aga armastab sekkuda.
46550,46567,46545,"Arvestab töös inimeste omapära ja soovidega, on isegi veidi erapoolik, aga see on põhjendatud."
46563,46569,46391,Arvestad teiste arvamusi.
46548,46557,46382,"Arvestades kui palju meil on olnud veebiarendusega muresid ja mis olukorras Kerttu meile tööle tuli, siis on ta suutnud kiiresti tekitada väga hea õhkkonna veebi puudutavate probleemide lahendamisel. Väga lihtne oleks Kerttul olnud probleemide osas viidata eelkäijatele, aga ta seda ei ole teinud, mis on väga positiivne ja edasiviiv käitumine"
46563,46572,46543,"Arvestades su temperamentset iseloomu, teed seda hästi."
46554,46571,46400,"arvestama ka teiste eriarvamustega, kuulama kolleegide-alluvate ettepanekuid, mitte neid tagasipõrgatama, sest ehk on nende jutus ka vahest mingi iva"
46549,46549,46386,Arvestan erinevate osapoolte seisukohti. Olen lahendustele ja tulemustele orienteeritud.
46445,46489,46546,Asi - esiteks.
46551,46562,46545,asjaajamine on kahtlemata sinu ala
46562,46568,46401,"Asjalik, kiire, meeldiv."
46571,46561,46401,"asjalik, kohusetundlik, pühendunud"
46551,46557,46401,"Asjalik, rahulik, hea kuulaja"
46556,46554,46401,"Asjalik, täpne, lõbus"
46557,46549,46401,"Asjalik, tarmukas, kiiru"
46553,46557,46401,"Asjatundlik, sõbralik, rahulik."
46568,46558,46400,"Asju ja oma tööaega,tegevusi on vaja planeerida. Kui plaan on valmis (eriti just ajalises mõttes), siis tuleb seda ka järgida, et asjad ei kuhjuks kokku ja midagi ei jääks tegemata. Alustatud töö tuleb kindlasti lõpuni viia. Vahepeal tuleb ennast kokku võtta isegi siis kui tekib tüdimus ja tundub, et enam ei jõua. Lõpus tuleb rohkem ponnistada."
46549,46563,46384,"Aus, otsekohene, hooliv ja siiras. Väljendab oma arvamust, võtab kindlameelselt vastu ka ebapopulaarseid otsuseid."
46549,46551,46387,"Aus, otsekohene, konstruktiivne."
46549,46489,46394,"Aus, siiras ja otsekohene."
46549,46564,46394,"Aus, siiras ja otsekohene."
46493,46552,46401,"Aus, sõbralik ja õiglane. Süda on tal õiges kohas. Juhiks sünidinud."
46491,46572,46401,Aus. Megakiire. Tabav.
46563,46557,46400,"Ausalt öeldes olen ma sellele küsimusele vastates raskustes. Mul ei tule meelde ühtegi olulist asja peale selle, et sul võinuks olla jumalik teadmine juba aasta tagasi, et Albert ei tööta ja alustada selle ümbervahetamisega varem. Aga ma ei saa seda sulle ette heita."
46549,46572,46384,"Avameelne, aus. Oskus välja öelda tõde teist inimest solvamata."
46553,46563,46401,"Avara vaate, laia silmaringiga, enesekindel ja tasakaalukas juht."
46548,46563,46401,"Avatud suhtleja, hea innustaja, nõudlik"
46550,46550,46401,"avatud suhtleja, koostööaldis, lahendusi otsiv"
46550,46567,46401,"avatud, positiivne, usaldusväärne"
46549,46572,46394,"Avatud, siiras, aus, hooliv."
46535,46556,46401,"Avatud, uudishimulik, tank."
46519,46551,46546,b
46519,46551,46545,c
46519,46551,46400,d
46548,46567,46542,"Debattides või vaidlustes ei ole ta kuigi salliv selliste arvamuste suhtes, mis ei lange kokku tema arvamusega."
46567,46569,46393,"Delegeerib, aga tundub, et vahest jätab delegeerimise liiga hilja peale. Siis läheb igas mõttes kiireks."
46445,46489,46393,"Delegeerib, kui on võimalus. Aga meil köik teevad mitu töid ja Tema kah"
46551,46553,46544,delegeerimine
46562,46553,46546,"Delegeerimine on hästi käpas. Kiire soovitus: Lahendage oma probleemid palun ise, töötab enamasti tõhusalt. :-)"
46567,46548,46393,"Delegeerimine õnnestub, aga kui neid delegeeritavaid asju koguneb liiga palju, siis vahest tundub kõrvaltvaatajana, et järg kipub pisut käest minema.  Vahest on raske aimata, miks mingi asi delegeeriti kellegile ja vahest jälle paneb mõtlema, et miks ta seda ei delegeerinud."
46548,46548,46400,"Delegeerimine. Peaksin senisest rohkem veelgi tegelema delegeerimisega, sest praegu aeg-ajalt jäävad erinevad asjad minu taha seisma. Nt jäävad toppama mõned artiklid, sest ma ei jõua nendega tegeleda. Inimestele tagasiside andmine on ebaregulaarne, sest ma ei jõu seda regulaarselt teha. Mõningate probleemide lahendamine lükkub, sest on olemas teised tegevused. 
Ma pean rohkem enda tegevusi prirotiseerima ning siis otsustama, millega on minul vaja tegeleda ja millega saavad tegeleda teised. 
Ma pean kriitiliselt vaatama üle oma ajaröövlid. Mõnikord kulutan liiga palju aega ebaolulistele tegevustele. 
Pean paremini oma päeva, nädalat ja kuud planeerima. Tekitama kindlad rutiinid, mis aitavad vältida ülesannete kuhjumist. 
Ma olen juba osad ülesanded jaganud ära ja sellega pean ka tulevikus jätkama. 
Pean õppima paremini kasutama erinevaid tehnilisi lisavahendeid, et oma tööd korraldada."
46548,46569,46393,Delegeerimisega võiks ta rohkem vaeva näha. Minu arvates võtab ta endale liiga palju ülesandeid. Ta võiks lasta lahti mingitest paika pandud reeglitest a la kui kaua kulub mingi ajakirja tegemiseks või erilehe tegemiseks. Rohkem kaasata ja ka koormata oma alluvaid.
46516,46562,46393,Delegeerimisest - mitte ala
46503,46571,46545,Detailne ning suurte kogemuste ja teadmistega lisaks finantsidele ka juhtimisvallas. Oskab asju lahti seletada ja kogemust jagada.
46566,46549,46545,Diplomaatiline ja viisakas
46561,46561,46384,"Ebapopulaarsete otsuste langetamisel püüan neid nii hästi põhjendada kui võimalik. Olen enamasti püüdnud eelnevalt teha kõik minust oleneva, et ma peaks ebapopulaarseid otsuseid langetama võimalikult harva. Kui mõõdikud ja põhjendused on väga selged, siis on selliseid otsuseid ka lihtsam teha. Kuna sellised otsused on enamasti psühholoogiliselt osalistele keerulised, siis on enesel raske hinnata, kuidas nad välja kukuv."
46489,46556,46544,edastab informatsiooni
46563,46572,46544,"Edukas Eesti. Sa pead selle üle tõeliselt uhke olema. Täiesti uus ja esmapilgul raamist välja ülesanne, mille ilusasti oled lahendanud,"
46563,46551,46383,Eelarve täitmise enese- ja teiste piitsutamise osas (heas mõttes) oleks paljudel sult õppida.
46564,46551,46383,Eelarved on täidetud ja alati sinna lähedale.
46864,46567,46389,Eelistab neid olukordi vältida ja suhtleb lugupidavalt. See on tähtsam kui hääletoon.
46864,46567,46381,"Eelistab, et ideid tuleks ka mujalt ja inimesed ei oleks ainult käsutäitjad."
46571,46551,46400,"Eelistad lühiajalist ja kiiret tulemust, isegi juhul kui perspektiivi arvestades, oleks mõistlik teine lahendus. Otsustamisel kaaluda laiemalt kogu firma huvisid ja arvestada, et kolleegid teevad seda sama."
46562,46561,46544,"Eelmisel sügisel alustas teabekirjastus koostööd konverentsikeskusega. Algus oli okkaline, et tootejuht ja konverentside projektijuht ühise keele leiaksid pidas ta rahulikult korduvaid läbirääkimisi ja arutelusid, ning koostöö hakkas laabuma. Hästi mõistlik olukorra lahendamine."
46460,46552,46383,"Eesmärgid on realistlikud, kuid iga kuu on eesmärgi täitmine suur väljakutse. Vajadusel saan alati tuge ja häid ideid, mis toetavad eesmärkide täitmist."
46571,46562,46401,"eesmärgile pühendunud, järeleandmatu, aktiivne"
46571,46551,46401,"eesmärgile pühendunud, pragmaatiline, initsiatiivikas"
46548,46557,46383,"Eesmärkide püsititus on hea, eesmärgid on realistlikud, väga selgelt on ka paigas, kuidas neid eesmärke saavutatakse, millised on tegevuskavad. Kogu veebiarendus on meil palju paremini kaardistatud ja tegevused selgemad, kui need olid varem."
46561,46561,46383,"Eesmärkide püstitamisel olen pigem optimist, aga ena arvates realistlik optimist."
46550,46559,46401,"efektiivne, mõistlik, optimistlik"
46563,46559,46401,Efektiivne. Nutikas. Otsekohene.
46549,46572,46389,"Ehe, siiras, emotsionaalne, kuid suudab kontrollida olukorda ja iseennast väga hästi."
46433,46569,46546,"Ehk on kummaline välja tuua, aga enda lugude toimetamise osas ei meenu mulle temaga mitte ühtegi probleemi. Ma pean seda loomulikult heaks, sest eks neid ikka muidu ette tuleb."
46550,46563,46400,"Ehk veidi enam järjekindlust. Kui Meelis on nt välja käinud mingi idee, siis võib juhtuda, et lahenduse leidmise ajaks on see juba päevakorrast maas, kui kohe plaksust ei tule. Lihtsalt teada kohe anda, kui asjaolud on mingit plaani muutnud."
46554,46562,46400,ehk võiks rohkem lasta inimestel ise eesmärke püstitada neid vastavalt nende võimekusele motiveerides ja lasta neil ka vastutust võtta
46423,46569,46400,"Ehkki tagasiside on alati olemas, siis natuke rohkem sooviks saada sisulisemat tagasisidet, kuidas mõni artikkel võiks olla paremini vormistatud või mis täpselt teeb mõnest loost parema kui teise. Kui ka teema on olnud põnev, siis kas see on ka piisavalt põnevalt välja mängitud."
46554,46554,46400,"ei annaks katteta lubadusi, kui pole kindel et neid täita ei saa; võtta järelemõtlemiseks aega, mitte kohe pakkuda, kas jõuan-saan teha, delegeerida kui võimalik"
46429,46550,46546,"Ei häbene nõu küsida lehekülje kujundamisel, on huvitatud korrektsest lõpptulemusest."
46450,46548,46542,"Ei julge päris lõpuni seda näidikut lükata, aga minu teada ei ole küll kellegi suhtes mingit vaenu või vastumeelsust olnud eriarvamuse pärast."
46548,46557,46545,"Ei karda probleeme. Äripäeva tulles sattus Kerttu arvukate probleemide lahinguväljale. Aga seda, kuidas ta asus neid lahendama, oli kõrvalt hea vaadata. Selge tegevuskava, aus probleemide tunnistamine, avalikult ta ei kritiseerinud eelkäijaid."
46445,46489,46545,"Ei karda raskusi
Lihtsalt lahendab keerulisi probleeme."
46554,46554,46391,"ei küsi eriti, elu on näidanud, et esimene ja enda kõhutunne on siiski kindlam, kui mistahes kõrvaline arvamus"
46550,46566,46545,"Ei lähe jõuga läbi müüri, arvestab teistega ja annab süsteemile aega paika loksuda."
46556,46489,46545,Ei löö põnnama uute väljakutsete ees ja hakkab otsast pihta.
46463,46548,46400,Ei meenu midagi...
46450,46548,46400,"Ei meenu ühtegi sellist olukorda, kus Aivar oleks võinud teisiti käituda."
46526,46560,46542,Ei näe inimese sisse.
46450,46569,46386,"Ei ole kokku puutunud ühegi sellise olukorraga, et oskaks hinnata"
46563,46550,46389,Ei ole kuulnud sind jupp aega häält tõstmas.
46563,46568,46389,Ei ole kuulnud sind kunagi häält tõstmas.
46563,46548,46389,Ei ole märganud sind häält tõstmas kunagi.
46563,46549,46389,Ei ole märganud sind häält tõstmas.
46563,46559,46389,Ei ole näinud sind häält tõstmas
46563,46548,46542,Ei ole probleeme näinud eriarvamuste seedimisega
46563,46559,46388,Ei ole saanud ses osas häirivat tagasisidet ja mina olen olnud alati informeeritud
46450,46569,46389,"Ei ole selliseid pingelisi olukordi väga kõrvalt näinud, aga Skype'is on kunagi mõnest lausest või jutukatkest jäänud mulje, et Rivo on natuke närviline. Samas ei ole see kunagi olnud midagi negatiivset või häirivat - kõigil juhtub."
46563,46569,46389,ei ole sind kunagi kuulnud oluliselt häält tõstmas.
46563,46553,46384,"Ei ole täheldanud, et sa kõhkleks ses osas. Kuigi teinekord tehakse need teoks üksuste juhtide kaudu, kuid selleks nad ongi"
46450,46548,46384,"Ei ole väga palju otsest kogemust selliste olukordade kohta, kuid olen kolleegidelt kuulnud, et vajadusel on ka ebapopulaarseid otsuseid tehtud."
46450,46548,46389,"Ei ole väga pingelise olukorra kogemust otseselt olnud, aga mulje ja kolleegide meenutused ütlevad, et Aivar suudab ikka erakordselt rahulikuks jääda, vähemalt näiliselt."
46504,46568,46400,Ei oska hetkel ühtegi näidet tuua.
46552,46568,46400,Ei oska kahjuks kommenteerida:)
46567,46556,46400,Ei oska kahjuks öelda.
46552,46563,46400,Ei oska kahjuks soovitada.
46410,46548,46400,"Ei oska kommenteerida, ei ole olnud sellist olukorda, mida Aivar i. oska lahendada või lahendaks valesti."
46468,46550,46400,"Ei oska midagi välja tuua, minu hinnangul saab Anu kõigega hästi hakkama."
46488,46554,46383,"ei oska öelda kui suur otsustamisvõime tal isiklikult on, sest temaltki nõutakse"
46568,46555,46545,ei oska öelda rohkem
46568,46555,46546,ei oska öelda rohkem
46556,46489,46400,Ei oska öelda.
46552,46551,46400,Ei oska soovitada.
46552,46557,46400,Ei oska soovitada.
46552,46561,46400,Ei oska soovitada.
46549,46549,46393,"Ei oska väga hästi delegeerida. Mugavam, turvalisem ja kindlam on kõik ise ära teha."
46568,46562,46400,Ei oska vastat
46568,46555,46400,ei oska vastata
46568,46564,46400,Ei oska vastata
46568,46564,46545,Ei oska vastata
46488,46554,46863,"ei oska vastata, aga lisatööjõule tuleb küll kohe konkreetselt selgeks teha, mida ta teeb, kuidas ning mida ei tohi puutuda (isetegevus seal on täiesti lubamatu). Tema teeb korraks, tal sellest ükskõik, aga meie peame sellega edasi töötama. Milleks aega raistata ümbertegemise peale!"
46453,46550,46391,"Ei oska vastata, sest ma ei oma infot, et nii oleks juhtu"
46488,46554,46388,ei puutu selle teemaga kokku
46488,46554,46391,ei puutu selle teemaga kokku
46471,46550,46546,"Ei reageeri üle ja suhtub mõistvalt / toetavalt, kui töötaja on vea teinud."
46450,46548,46381,"Ei saa öelda, et otseselt motiveerib, küll on aga üldine hoiak ja suhtumine selline, et julged ka ise mingeid otsuseid vastu võtta."
46489,46556,46400,ei tea
46563,46549,46394,"Ei tea täpselt teiste kohta, kuid minule võiksid enda rohkemgi tagasisidet turunduse teemal:)"
46431,46550,46861,ei toimu osakonna siseseid koosolekuid
